ts_code,ts_path_kr,is_active
"TS001.00,"생활/주방",true",,
"TS001.01,"생활/주방 > 수납정리",true",,
"TS001.02,"생활/주방 > 청소세정",true",,
"TS001.03,"생활/주방 > 욕실용품",true",,
"TS001.04,"생활/주방 > 주방도구",true",,
"TS001.05,"생활/주방 > 주방일회용",true",,
"TS002.00,"문구/오피스",true",,
"TS002.01,"문구/오피스 > 필기용품",true",,
"TS002.02,"문구/오피스 > 사무소모품",true",,
"TS002.03,"문구/오피스 > 오피스정리",true",,
"TS002.04,"문구/오피스 > 아트/공예",true",,
"TS003.00,"패션잡화/소품",true",,
"TS003.01,"패션잡화/소품 > 가방·파우치",true",,
"TS003.02,"패션잡화/소품 > 지갑/카드지갑",true",,
"TS003.03,"패션잡화/소품 > 벨트/모자",true",,
"TS003.04,"패션잡화/소품 > 양말/타이즈",true",,
"TS004.00,"뷰티/케어",true",,
"TS004.01,"뷰티/케어 > 메이크업소품",true",,
"TS004.02,"뷰티/케어 > 네일/아트",true",,
"TS004.03,"뷰티/케어 > 헤어소품",true",,
"TS004.04,"뷰티/케어 > 퍼스널케어용품",true",,
"TS005.00,"DIY/인테리어자재",true",,
"TS005.01,"DIY/인테리어자재 > 자석/경첩/꺽쇠",true",,
"TS005.02,"DIY/인테리어자재 > 나사/볼트",true",,
"TS005.03,"DIY/인테리어자재 > 가구부속",true",,
"TS005.04,"DIY/인테리어자재 > 실리콘/접착",true",,
"TS006.00,"취미/수예/토이",true",,
"TS006.01,"취미/수예/토이 > 수예부자재",true",,
"TS006.02,"취미/수예/토이 > 공예재료",true",,
"TS006.03,"취미/수예/토이 > 완구/퍼즐",true",,
"TS007.00,"스포츠/레저",true",,
"TS007.01,"스포츠/레저 > 운동소품",true",,
"TS007.02,"스포츠/레저 > 수영/물놀이",true",,
"TS007.03,"스포츠/레저 > 캠핑/피크닉",true",,
"TS008.00,"모바일/디지털액세서리",true",,
"TS008.01,"모바일/디지털액세서리 > 휴대폰거치대/홀더",true",,
"TS008.02,"모바일/디지털액세서리 > 케이블/충전소모품",true",,
"TS008.03,"모바일/디지털액세서리 > 이어폰/음향소품",true",,
"TS009.00,"자동차/공구",true",,
"TS009.01,"자동차/공구 > 차량관리용품",true",,
"TS009.02,"자동차/공구 > 안전/구급",true",,
"TS009.03,"자동차/공구 > 수공구",true",,
"TS010.00,"반려동물용품",true",,
"TS010.01,"반려동물용품 > 급식/급수",true",,
"TS010.02,"반려동물용품 > 배변/위생",true",,
"TS010.03,"반려동물용품 > 장난감/하우스",true",,
"TS011.00,"유아/아동용품",true",,
"TS011.01,"유아/아동용품 > 식기/수유",true",,
"TS011.02,"유아/아동용품 > 안전/보호",true",,
"TS011.03,"유아/아동용품 > 완구/교육",true",,
"TS012.00,"건강/의료용품",true",,
"TS012.01,"건강/의료용품 > 건강보조용품",true",,
TS001.01.01,"생활/주방 > 수납정리 > 표지판/안내판",true
TS001.01.02,"생활/주방 > 수납정리 > 후크/걸이용품",true
TS001.01.03,"생활/주방 > 수납정리 > 소품정리함",true
TS001.01.04,"생활/주방 > 수납정리 > 스탠드/벽걸이선반",true
TS001.05.01,"생활/주방 > 주방일회용 > 쇼핑백/선물상자",true
TS002.03.01,"문구/오피스 > 오피스정리 > 메모판/미니보드",true
TS002.03.02,"문구/오피스 > 오피스정리 > 책상정리함",true
TS002.02.01,"문구/오피스 > 사무소모품 > 명찰/네임택",true
TS005.03.01,"DIY/인테리어자재 > 가구부속 > 미끄럼방지/보호패드",true
TS001.03.01,"생활/주방 > 욕실용품 > 욕실행거/바스켓",true

"TS012.02,"건강/의료용품 > 재활/운동보조용품",true",,
"TS012.03,"건강/의료용품 > 위생/일회용의료품",true",,
